Func,Video,CertRate,CertStat,Keys,Text,RespTime,Onset,Offset,SystemTime_Start,SystemTime_Stop,FrameTimestamps,Participant*,date,expName,psychopyVersion,frameRate,
instrFunc,NA,NA,NA,0,"Before the task begins, we will run a very quick scan. You will see a fixation cross appear on the screen. Please just relax while this scan runs.",0.9194611001294106,21.81183849996887,22.79806325957179,2022-05-23 15:41:41.490501,2022-05-23 15:41:42.470220,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
instrFunc,NA,NA,NA,0,+,0.6909101998899132,22.76037330017425,23.488270820351318,2022-05-23 15:41:42.470220,2022-05-23 15:41:43.185974,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
instrFunc,NA,NA,NA,1,"To start this study, you will be watching an episode of television and making continous assessments about one of the characters.


Press the thumb button when ready to continue.",26.469243000028655,23.476404500193894,49.99019772023894,2022-05-23 15:41:43.185974,2022-05-23 15:42:09.687373,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
instrFunc,NA,NA,NA,1,"You will first be presented with background information for the show, which is a murder mystery in which one character has been accused of murdering another.

You will be given information about the accused, the victim, and the surrounding context.


Press the thumb button when ready to continue.",6.432634999975562,49.979985899990425,56.45734072010964,2022-05-23 15:42:09.687373,2022-05-23 15:42:16.154191,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
instrFunc,NA,NA,NA,1,"You will be judging how certain you are that the accused person is either innocent or guilty.


Press the thumb button when ready to continue.",6.622877900023013,56.44346460001543,63.103316120104864,2022-05-23 15:42:16.154191,2022-05-23 15:42:22.803413,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
instrFunc,NA,NA,NA,1,"You will use the provided button pad to indicate your certainty of the accused's innocence or guilt.


Press the thumb button when ready to continue.",4.1914752998854965,63.09287440008484,67.32108072005212,2022-05-23 15:42:22.803413,2022-05-23 15:42:27.020597,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
instrFunc,NA,NA,NA,1,"Pressing the index finger button will correspond to greater certainty that the accused is guilty.

Pressing the middle finger button will correspond to greater certainty that the accused is innocent.


Press the thumb button when ready to continue.",50.532738300040364,67.30963669996709,117.8695692201145,2022-05-23 15:42:27.020597,2022-05-23 15:43:17.569798,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
instrFunc,NA,NA,NA,1,"Before we begin, we will take a moment to let you practice using the buttons to indicate your ratings.


Press the thumb button when ready to continue.",5.126707200193778,117.85974390013143,123.02239762013778,2022-05-23 15:43:17.569798,2022-05-23 15:43:22.720949,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
isiFunc,NA,NA,NA,NA,+,NA,123.00959360017441,125.01781562017277,2022-05-23 15:43:22.720949,2022-05-23 15:43:24.717783,NA,SR-8746,2022_May_23_1541,certainty_neuro,2021.2.3,59.996676228673074,
